Tarih,Açılış,Yüksek,Düşük,Kapanış,Hacim
2025-06-18,156.07,160.71,154.29,157.26,1754214
2025-06-19,152.9,158.82,149.96,155.57,1289707
2025-06-20,158.7,158.71,157.24,157.32,548736
2025-06-23,159.6,162.68,157.98,159.65,1136373
2025-06-24,155.28,155.95,149.85,153.42,1992417
2025-06-25,154.75,161.14,150.25,157.61,1671654
2025-06-26,155.34,156.75,151.5,152.32,710793
2025-06-27,154.24,158.72,150.54,155.45,1415468
2025-06-30,159.37,164.51,159.15,161.15,1933842
2025-07-01,160.51,167.57,157.69,163.62,1723095
2025-07-02,162.34,168.61,158.82,165.33,911709
2025-07-03,174.58,177.41,171.35,173.3,240333
2025-07-04,175.06,182.34,171.12,178.31,540436
2025-07-07,187.48,188.0,183.61,184.47,1795075
2025-07-08,194.4,197.27,190.08,191.27,1721226
2025-07-09,198.85,202.53,194.77,200.42,955715
2025-07-10,212.76,216.23,208.88,209.34,556340
2025-07-11,206.42,207.62,202.58,203.73,1490821
2025-07-14,207.48,213.28,203.41,209.26,1172873
2025-07-15,206.31,209.36,206.27,208.46,1602007
2025-07-16,202.53,205.95,195.51,200.05,173094
2025-07-17,207.48,215.3,206.31,209.49,1151312
2025-07-18,210.25,211.74,205.96,207.8,865494
