Tarih,Açılış,Yüksek,Düşük,Kapanış,Hacim
2025-06-18,143.8,148.96,139.51,145.73,1873263
2025-06-19,142.42,145.23,141.86,144.41,903512
2025-06-20,138.98,142.51,137.06,139.77,1400352
2025-06-23,133.95,134.28,131.33,132.85,1706248
2025-06-24,138.66,140.68,134.3,136.23,1901936
2025-06-25,143.53,146.89,137.0,141.07,1668146
2025-06-26,137.02,142.23,135.5,139.63,1841166
2025-06-27,138.54,139.73,134.64,137.45,1900199
2025-06-30,132.77,135.43,128.7,130.69,502057
2025-07-01,137.56,137.65,135.4,136.79,307980
2025-07-02,137.2,141.3,134.17,137.62,713188
2025-07-03,141.9,144.48,141.18,144.44,1275643
2025-07-04,144.23,147.26,142.01,143.51,259821
2025-07-07,138.34,140.18,136.89,138.73,1778518
2025-07-08,143.59,145.04,139.48,144.47,1477427
2025-07-09,142.1,142.28,139.49,140.47,1000965
2025-07-10,142.15,142.74,136.65,139.44,1417749
2025-07-11,133.08,136.49,130.59,135.79,103216
2025-07-14,131.01,133.21,130.7,131.8,763465
2025-07-15,136.5,140.37,132.05,135.65,1428802
2025-07-16,132.9,137.65,130.47,135.24,1006845
2025-07-17,134.36,140.81,130.54,137.03,498972
2025-07-18,131.41,135.93,130.75,133.76,710554
