Tarih,Açılış,Yüksek,Düşük,Kapanış,Hacim
2025-06-18,156.71,159.28,154.28,155.62,1250026
2025-06-19,152.53,153.04,147.7,150.08,1180868
2025-06-20,151.59,154.5,150.6,151.46,752168
2025-06-23,152.75,154.35,149.46,152.63,860633
2025-06-24,152.03,157.56,148.6,153.08,416650
2025-06-25,148.16,150.86,144.27,147.56,166627
2025-06-26,142.8,147.0,139.84,140.96,1896201
2025-06-27,144.49,147.53,144.4,146.65,481197
2025-06-30,145.78,146.32,139.56,143.35,1356290
2025-07-01,149.24,151.32,145.97,149.15,319626
2025-07-02,154.89,157.83,150.76,152.21,1912997
2025-07-03,152.18,155.01,145.45,149.32,1762358
2025-07-04,146.11,150.53,144.49,147.24,888774
2025-07-07,150.75,153.61,147.91,150.0,1586963
2025-07-08,150.6,154.01,146.44,150.35,981376
2025-07-09,154.6,155.04,154.17,154.97,317975
2025-07-10,151.06,151.78,146.19,148.67,203756
2025-07-11,148.26,148.79,143.54,145.6,1984139
2025-07-14,140.93,145.59,140.08,142.87,106105
2025-07-15,150.26,152.26,147.45,147.95,199334
2025-07-16,142.15,145.9,140.64,143.44,1399755
2025-07-17,146.21,151.65,143.93,148.45,1588638
2025-07-18,147.46,150.44,144.61,149.82,1118527
