Tarih,Açılış,Yüksek,Düşük,Kapanış,Hacim
2025-06-18,132.83,134.11,131.58,132.23,643926
2025-06-19,134.85,135.14,131.3,132.76,1856009
2025-06-20,130.68,134.35,129.41,131.37,214675
2025-06-23,126.52,129.28,125.19,128.08,824065
2025-06-24,129.6,133.58,126.59,130.96,837949
2025-06-25,126.13,129.88,125.87,127.88,960352
2025-06-26,131.19,134.08,129.03,132.24,347853
2025-06-27,135.54,139.57,131.99,134.07,196249
2025-06-30,136.99,140.66,134.13,138.93,1726165
2025-07-01,135.3,138.48,131.65,134.4,1173129
2025-07-02,128.93,130.58,126.37,128.22,1945636
2025-07-03,122.78,125.26,120.67,125.09,1185480
2025-07-04,126.25,129.7,122.06,124.35,1284242
2025-07-07,117.15,119.92,114.81,119.47,292839
2025-07-08,122.31,125.01,120.38,123.83,1654608
2025-07-09,123.12,124.52,122.72,122.92,1766876
2025-07-10,120.08,121.18,116.81,120.62,940630
2025-07-11,117.96,121.15,114.18,116.91,486825
2025-07-14,117.57,118.93,114.27,117.87,656537
2025-07-15,111.22,114.62,108.3,112.29,962108
2025-07-16,111.27,112.9,108.75,109.62,1400954
2025-07-17,103.73,107.13,102.34,104.91,755480
2025-07-18,101.9,104.71,100.35,103.7,476155
