Tarih,Açılış,Yüksek,Düşük,Kapanış,Hacim
2025-06-18,155.72,157.4,150.63,152.84,1435901
2025-06-19,152.37,153.11,149.16,152.62,1095877
2025-06-20,149.48,150.48,146.96,149.87,869130
2025-06-23,158.48,159.9,152.29,156.21,485352
2025-06-24,161.18,163.9,155.21,158.29,1709470
2025-06-25,152.64,155.9,150.16,151.89,423823
2025-06-26,157.04,161.15,155.01,155.02,1758930
2025-06-27,161.12,164.58,157.7,159.97,222503
2025-06-30,150.54,157.26,147.0,153.43,119488
2025-07-01,152.29,152.87,147.75,150.83,1009992
2025-07-02,145.07,147.43,142.38,144.18,411231
2025-07-03,148.75,150.85,143.61,147.35,1287159
2025-07-04,146.42,150.23,144.01,148.07,850222
2025-07-07,147.19,152.24,146.84,148.49,1006672
2025-07-08,152.62,156.71,148.89,153.8,1423276
2025-07-09,155.24,156.18,149.88,154.22,1365839
2025-07-10,156.92,161.75,153.07,159.94,1834302
2025-07-11,160.87,165.02,158.36,158.43,679860
2025-07-14,152.17,155.84,147.95,154.32,1222823
2025-07-15,158.05,158.84,154.48,158.84,684797
2025-07-16,153.49,154.04,147.61,151.2,1113134
2025-07-17,143.71,144.74,141.23,144.73,1918409
2025-07-18,142.1,145.54,140.69,141.39,585827
